S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
285,Geetha govindam,Comedy,5.0,30.0,60.0,7.7,12,70.0
286,Tillu Sqaure,Comedy,40.0,80.0,70.0,6.6,15,125.0
287,Kushi,Comedy,70.0,71.4,95.0,5.4,21,180.0
288,Om Bheem Bush,Comedy,20.0,50.0,70.0,5.6,5.6,17.0
289,Mathu vadalara,Comedy,2.0,66.5,70.0,8.2,3,10.0
290,Alludu Seenu,Comedy,35.0,70.5,30.0,4.6,0.54,15.6
291,Kick,Comedy,15.0,60.0,80.0,7.9,0.22,36.0
292,Oh Baby,Comedy,30.0,50.0,95.0,7.3,9,38.0
293,Brundavanam,Comedy,28.0,80.0,90.0,7.1,0.61,35.0
294,Don seenu,Comedy,30.0,85.7,85.0,6.0,0.34,90.0
295,Ori devuda,Comedy,15.0,96.0,30.0,7.1,0.88,10.0
296,Rangabali,Comedy,12.0,30.0,45.0,5.0,5.9,16.0
297,bomarillu,Comedy,6.0,44.5,60.0,8.2,0.63,32.0
298,Attarintiki daredi,Comedy,55.0,80.0,95.0,7.3,0.25,187.0
299,darling,Comedy,6.5,90.0,90.0,7.4,0.2,4.75
300,dhamaka,Comedy,35.0,62.5,80.0,6.2,3.8,110.0
301,krishnarjuna yuddham,Comedy,20.0,40.0,95.0,5.8,6.9,38.0
302,bro,Comedy,20.0,60.0,60.0,6.0,37,115.0
303,devadas,Comedy,18.0,50.0,95.0,6.5,7,90.0
304,krishna and his leela,Comedy,3.0,80.0,70.0,5.8,0.71,12.0
305,nenu local,Comedy,16.0,62.5,95.0,6.4,4.4,58.0
306,Aadavallu miku joharalu,Comedy,33.0,75.0,75.0,5.8,9.5,35.5
307,Jathi ratnalu,Comedy,6.0,33.3,60.0,7.3,22,70.0
308,samajavaragamana,Comedy,5.0,33.3,70.0,7.5,3.7,30.0
309,maryada ramanna,Comedy,14.0,100.0,80.0,7.5,0.14,28.5
310,Malliswari,Comedy,10.0,42.8,83.0,7.8,0.45,30.0
311,Ante sundharaniki,Comedy,30.0,75.0,95.0,8.0,20,30.0
312,Aadavari matalaku ardalu verule,Comedy,3.0,40.6,83.0,7.6,0.35,10.0
313,Pilla zamindar,Comedy,7.0,70.0,80.0,7.7,20,50.0
314,Kandeerga,Comedy,15.0,60.0,60.0,6.2,0.6,22.0
315,Soggade chinni nayana,Comedy,20.0,85.0,90.0,6.3,1.5,82.0
316,Agent sai srinivasa athreya,Comedy,1.5,75.0,90.0,8.3,5,15.0
317,Ashta chamma,Comedy,1.6,70.0,70.0,7.4,0.6,7.0
318,MAD,Comedy,8.0,60.0,60.0,7.5,10,26.0
319,Jalsa,Comedy,25.0,90.0,90.0,7.4,2,47.55
320,Manmadhudu,Comedy,5.0,85.0,90.0,4.8,0.237,30.0
321,Shankar dada MBBS,Comedy,15.0,50.0,90.0,7.6,0.434,20.0
322,Ginna,Comedy,25.0,85.0,50.0,3.0,7.3,2.0
323,Gopala gopala,Comedy,12.0,90.0,90.0,7.2,0.574,88.1
324,Oopiri,Comedy,21.0,75.0,90.0,8.0,3,30.0
325,Pelli choopulu,Comedy,1.2,75.0,60.0,8.5,0.794,30.0
326,Mem famous,Comedy,3.0,30.0,20.0,7.1,1.7,3.9
327,Orange,Comedy,32.0,44.5,57.14,6.7,0.223,3.36
328,Krishana gadi veera prema kadha,Comedy,14.0,66.66,95.0,7.4,0.53,10.86
329,Chalo,Comedy,3.0,30.0,40.17,6.3,0.916,16.0
330,F3,Comedy,60.0,75.0,83.0,4.7,5.7,134.0
331,Doctor,Comedy,40.0,42.8,75.0,7.4,3.5,90.0
332,Varsham,Comedy,10.0,62.5,73.33,7.3,0.26,32.0
333,Premam,Comedy,20.0,30.0,40.17,6.4,3.2,60.0
334,Fidaa,Comedy,13.0,75.0,50.0,7.4,12,91.0
335,Middle class melodies,Comedy,2.0,75.0,40.0,7.5,0.204,51.0
336,Duvvada jaganadham,Comedy,50.0,60.0,90.0,6.0,22,125.0
337,Badri,Comedy,20.0,61.1,60.0,7.3,0.11,18.0
338,Race gurram,Comedy,52.0,60.0,90.0,7.3,0.112,101.3
339,Gam gam ganesha,Comedy,4.0,0.0,40.0,5.3,3.4,6.05
340,Gang leader,Comedy,40.0,25.0,95.0,7.6,7,45.8
341,Supreme,Comedy,20.0,75.0,42.85,6.1,1.2,20.0
342,Keeda cola,Comedy,2.0,75.0,30.0,7.4,6.6,16.0
343,Daruvu,Comedy,20.0,60.7,85.0,5.3,0.3,20.0
344,Das ka dhamki,Comedy,8.59,100.0,30.0,6.1,8.2,22.8
345,Happy,Comedy,2.0,90.0,90.0,7.1,1.6,18.0
346,Mirapakay,Comedy,1.5,60.0,85.0,6.3,0.218,17.02
347,Size zero,Comedy,25.0,28.5,70.0,5.5,7.5,9.5
348,Kirrak party,Comedy,10.0,50.0,33.33,7.0,3.2,11.0
349,Aay,Comedy,8.0,75.0,33.33,6.4,3.1,14.09
350,King,Comedy,20.0,70.0,90.0,6.5,0.45,100.0
351,Sailja reddy alludu,Comedy,15.0,60.0,40.17,5.0,8.3,26.5
